Wall time,Step,Value
1570699348.690689,1,2.7303688526153564
1570699712.0248008,2,2.6586039066314697
1570700042.1079855,3,2.639678955078125
1570700372.6111763,4,2.624671697616577
1570700704.2678456,5,2.614393949508667
1570701055.6941216,6,2.602752923965454
1570701398.8007276,7,2.543905735015869
1570701731.2811887,8,2.42983078956604
1570702060.2964158,9,2.3336145877838135
1570702388.8181648,10,2.255664587020874
1570702719.2692063,11,2.199889659881592
1570703049.7921615,12,2.1439592838287354
1570703379.6007953,13,2.098642587661743
1570703709.879739,14,2.0588932037353516
1570704040.0828712,15,2.030611515045166
1570704370.1187682,16,1.9904004335403442
1570704700.1513567,17,1.9590532779693604
1570705030.1833231,18,1.9431838989257812
1570705360.4722548,19,1.9168474674224854
1570705690.9486082,20,1.8952852487564087
1570706020.9830375,21,1.8726521730422974
1570706350.7535517,22,1.8534486293792725
1570706681.009961,23,1.8399345874786377
1570707011.4065292,24,1.8167332410812378
1570707343.0760465,25,1.8136639595031738
1570707674.1772275,26,1.804202914237976
1570708005.592116,27,1.7912706136703491
1570708336.8727167,28,1.7633423805236816
1570708668.5986838,29,1.7624521255493164
1570708999.9047017,30,1.7356268167495728
1570709331.4402087,31,1.7309238910675049
1570709662.8168566,32,1.7102038860321045
1570709994.9442227,33,1.6992316246032715
1570710326.8346734,34,1.6981626749038696
1570710659.4645069,35,1.6797926425933838
1570710991.1374636,36,1.6623404026031494
1570711322.9988887,37,1.6585694551467896
1570711654.12972,38,1.6439054012298584
1570711985.6787255,39,1.632576823234558
1570712317.5281043,40,1.627402901649475
1570712649.0808601,41,1.6102582216262817
1570712980.792995,42,1.6122078895568848
1570713312.2391737,43,1.6007683277130127
1570713643.391224,44,1.5798043012619019
1570713975.181323,45,1.5788782835006714
1570714306.201631,46,1.5734095573425293
1570714637.452316,47,1.5651885271072388
1570714968.7954078,48,1.5509179830551147
1570715299.957064,49,1.5458124876022339
1570715631.453394,50,1.5451834201812744
1570715963.5821166,51,1.5334399938583374
1570716295.120018,52,1.5225982666015625
1570716626.6904595,53,1.5222804546356201
1570716958.4873536,54,1.5082169771194458
1570717289.921527,55,1.5041667222976685
1570717621.2053645,56,1.4947338104248047
1570717952.8939626,57,1.4952471256256104
1570718284.2686937,58,1.4843828678131104
1570718616.2283819,59,1.471020221710205
1570718947.9067557,60,1.4714267253875732
1570719279.1181355,61,1.4735822677612305
1570719610.0486486,62,1.4639537334442139
1570719940.7856784,63,1.455297827720642
1570720271.80279,64,1.441964864730835
1570720603.3674116,65,1.449775218963623
1570720935.8387287,66,1.434814214706421
1570721268.0894344,67,1.4387006759643555
1570721600.4124053,68,1.4221254587173462
1570721932.897627,69,1.4198023080825806
1570722265.6823342,70,1.4114238023757935
1570722598.3700452,71,1.4114243984222412
1570722931.4236145,72,1.406598448753357
1570723264.0519142,73,1.3938881158828735
1570723597.0890856,74,1.4020373821258545
1570723929.9198623,75,1.3957016468048096
1570724262.8398256,76,1.3954906463623047
1570724595.696744,77,1.3880101442337036
1570724927.747459,78,1.3851038217544556
1570725260.8146894,79,1.378894567489624
1570725593.3113835,80,1.3689459562301636
1570725926.5723069,81,1.3637882471084595
1570726259.3931866,82,1.364176630973816
1570726592.361738,83,1.361057162284851
1570726925.2566307,84,1.3593285083770752
1570727258.0834756,85,1.3411818742752075
1570727591.3613706,86,1.344391942024231
1570727924.3543942,87,1.3351799249649048
1570728257.0822153,88,1.3362195491790771
1570728590.0014713,89,1.336512565612793
1570728922.9608037,90,1.3232252597808838
1570729256.1608474,91,1.3225804567337036
1570729588.9744763,92,1.3228189945220947
1570729922.1472123,93,1.3167957067489624
1570730254.9808338,94,1.3023061752319336
1570730587.9321628,95,1.3063347339630127
1570730920.4281068,96,1.2996383905410767
1570731252.9179378,97,1.2981362342834473
1570731585.72667,98,1.2963329553604126
1570731918.1961586,99,1.2865670919418335
1570732251.0900927,100,1.2863061428070068
1570732584.2207863,101,1.2857038974761963
1570732916.668214,102,1.2801364660263062
1570733249.2269518,103,1.2724179029464722
1570733581.8865366,104,1.270302176475525
1570733914.7429168,105,1.2761569023132324
1570734247.3198922,106,1.270664930343628
1570734579.7343545,107,1.2720328569412231
1570734912.2165928,108,1.2577635049819946
1570735244.9966912,109,1.2579329013824463
1570735577.2610917,110,1.251591444015503
1570735910.1621046,111,1.2523356676101685
1570736242.4986951,112,1.247562050819397
1570736575.1859372,113,1.2366390228271484
1570736907.780222,114,1.2428330183029175
1570737240.2646763,115,1.2372158765792847
1570737572.6066084,116,1.2361886501312256
1570737905.2691333,117,1.2386082410812378
1570738237.8374414,118,1.2273645401000977
1570738570.1446097,119,1.2329072952270508
1570738902.9218116,120,1.2235565185546875
1570739235.1580002,121,1.2142252922058105
1570739567.5684412,122,1.2216906547546387
1570739899.8740788,123,1.2204874753952026
1570740232.8178828,124,1.2185564041137695
1570740565.358833,125,1.2044575214385986
1570740897.7237368,126,1.1987656354904175
1570741230.4816809,127,1.2080518007278442
1570741562.9108782,128,1.2026597261428833
1570741895.277772,129,1.1986662149429321
1570742227.7522585,130,1.1989586353302002
1570742560.014732,131,1.1876972913742065
1570742892.1000383,132,1.1906601190567017
1570743224.599072,133,1.189659833908081
1570743557.0430262,134,1.182960033416748
1570743889.440443,135,1.1793560981750488
1570744221.308768,136,1.1779817342758179
1570744553.3971229,137,1.1802184581756592
1570744885.8367975,138,1.181449055671692
1570745218.3445299,139,1.1746047735214233
1570745549.9728198,140,1.1714367866516113
1570745882.4595704,141,1.1702007055282593
1570746214.677119,142,1.1658490896224976
1570746547.134643,143,1.1703705787658691
1570746879.4810271,144,1.1579647064208984
1570747212.0751107,145,1.1585001945495605
1570747544.124123,146,1.1586167812347412
1570747876.6420605,147,1.154853105545044
1570748208.665159,148,1.1502747535705566
1570748541.249107,149,1.1573063135147095
1570748873.3514538,150,1.1504021883010864
1570749205.9416082,151,1.1442828178405762
1570749538.412511,152,1.1426801681518555
1570749870.1193755,153,1.1459728479385376
1570750201.8764083,154,1.144288182258606
1570750533.725379,155,1.137968897819519
1570750865.9369378,156,1.1365201473236084
1570751197.8027585,157,1.1275708675384521
1570751529.7890325,158,1.1289401054382324
1570751861.3068914,159,1.1293275356292725
1570752193.0385072,160,1.1240265369415283
1570752525.1820297,161,1.1281315088272095
1570752856.834274,162,1.1191260814666748
1570753188.884463,163,1.1158467531204224
1570753520.6080697,164,1.1159361600875854
1570753853.1592832,165,1.122765302658081
1570754184.9640255,166,1.1091814041137695
1570754517.5489664,167,1.1080663204193115
1570754849.69877,168,1.1095649003982544
1570755181.3023388,169,1.1093419790267944
1570755513.1069643,170,1.1043469905853271
1570755844.9678698,171,1.1097915172576904
1570756176.075476,172,1.1050724983215332
1570756506.447886,173,1.090944528579712
1570756836.821842,174,1.095168113708496
1570757167.5459228,175,1.0938353538513184
1570757497.928118,176,1.095624566078186
1570757828.9168937,177,1.0944654941558838
1570758159.2018135,178,1.098670244216919
1570758489.8145843,179,1.0882387161254883
1570758820.4866161,180,1.0867575407028198
1570759150.9597025,181,1.0795056819915771
1570759481.0846002,182,1.0827988386154175
1570759811.855113,183,1.077877402305603
1570760142.7559304,184,1.081213355064392
1570760473.4837542,185,1.0779470205307007
1570760804.0052009,186,1.0799559354782104
1570761134.6130474,187,1.0756075382232666
1570761465.0281224,188,1.0729453563690186
1570761795.767371,189,1.071359395980835
1570762126.106844,190,1.0719084739685059
1570762457.262579,191,1.0699875354766846
1570762787.6559632,192,1.0675359964370728
1570763118.7442746,193,1.0621378421783447
1570763449.5219538,194,1.0635817050933838
1570763778.2772338,195,1.0586472749710083
1570764106.1311033,196,1.0680996179580688
1570764434.1239774,197,1.0578703880310059
1570764762.093656,198,1.0590202808380127
1570765090.20988,199,1.0563517808914185
1570765418.2701385,200,1.057621717453003
1570765746.7218385,201,1.0522030591964722
1570766074.7733178,202,1.0548151731491089
1570766402.968282,203,1.0499496459960938
1570766730.836458,204,1.0415045022964478
1570767058.8731155,205,1.0481113195419312
1570767387.7045264,206,1.0432090759277344
1570767716.258387,207,1.0435630083084106
1570768044.518827,208,1.0431005954742432
1570768372.6474483,209,1.0380339622497559
1570768701.115224,210,1.0382436513900757
1570769029.65351,211,1.0340415239334106
1570769357.999275,212,1.0365004539489746
1570769686.170275,213,1.034354567527771
1570770014.473482,214,1.0287145376205444
1570770342.5540738,215,1.0297890901565552
1570770670.1125722,216,1.0302338600158691
1570770997.673642,217,1.0295531749725342
1570771325.462047,218,1.0274267196655273
1570771653.0415366,219,1.027479887008667
1570771980.6408434,220,1.0210044384002686
1570772308.5281186,221,1.0246260166168213
1570772636.2118623,222,1.0219805240631104
