Wall time,Step,Value
1570699348.691651,1,11.91702938079834
1570699712.0249932,2,11.499198913574219
1570700042.108213,3,10.3547945022583
1570700372.6113684,4,9.89840316772461
1570700704.2679513,5,9.473212242126465
1570701055.6942303,6,8.902202606201172
1570701398.8008556,7,7.991661548614502
1570701731.28144,8,7.107516765594482
1570702060.2966676,9,6.751605987548828
1570702388.8183837,10,6.35344934463501
1570702719.269314,11,5.937718868255615
1570703049.7924185,12,5.595032691955566
1570703379.6010482,13,5.48131799697876
1570703709.87999,14,5.3305344581604
1570704040.0831208,15,5.2598748207092285
1570704370.1189756,16,5.111350059509277
1570704700.151595,17,5.019839286804199
1570705030.1835425,18,4.934211730957031
1570705360.4725173,19,4.90899133682251
1570705690.9488647,20,4.772736549377441
1570706020.9832878,21,4.7517619132995605
1570706350.7536588,22,4.666849613189697
1570706681.0102158,23,4.583900451660156
1570707011.406772,24,4.510676383972168
1570707343.0762744,25,4.479092121124268
1570707674.1774561,26,4.407937049865723
1570708005.592378,27,4.372900485992432
1570708336.8729708,28,4.322850227355957
1570708668.5989463,29,4.272221565246582
1570708999.9049628,30,4.242257118225098
1570709331.440466,31,4.183558464050293
1570709662.8171115,32,4.140613555908203
1570709994.944479,33,4.113286018371582
1570710326.8347814,34,4.091644287109375
1570710659.464761,35,4.038996696472168
1570710991.1375656,36,4.014787673950195
1570711322.9991424,37,3.964604616165161
1570711654.1299775,38,3.9467670917510986
1570711985.6789505,39,3.9097533226013184
1570712317.5283346,40,3.8970000743865967
1570712649.0810697,41,3.8703901767730713
1570712980.793254,42,3.8612611293792725
1570713312.2394302,43,3.8218138217926025
1570713643.391475,44,3.7945775985717773
1570713975.1815903,45,3.776268482208252
1570714306.201862,46,3.760115146636963
1570714637.4525704,47,3.7516517639160156
1570714968.7955158,48,3.7276322841644287
1570715299.957319,49,3.697786331176758
1570715631.4536355,50,3.6725165843963623
1570715963.5822244,51,3.660123825073242
1570716295.120276,52,3.632195472717285
1570716626.6907136,53,3.639158248901367
1570716958.487608,54,3.6088671684265137
1570717289.9217834,55,3.5948972702026367
1570717621.2054775,56,3.581491708755493
1570717952.8940687,57,3.5602846145629883
1570718284.268921,58,3.5401768684387207
1570718616.2286067,59,3.541728973388672
1570718947.9070086,60,3.5191421508789062
1570719279.1183612,61,3.5076212882995605
1570719610.048901,62,3.490809202194214
1570719940.7857852,63,3.4803414344787598
1570720271.8030477,64,3.469120979309082
1570720603.3676717,65,3.454983949661255
1570720935.8389828,66,3.4411325454711914
1570721268.08969,67,3.430762529373169
