Wall time,Step,Value
1570872199.5205588,1,10.392958641052246
1570872525.2694895,2,10.205431938171387
1570872851.0361998,3,10.408381462097168
1570873177.6667056,4,9.611346244812012
1570873504.0969975,5,8.54796314239502
1570873830.9052546,6,8.547757148742676
1570874157.9568706,7,7.2937912940979
1570874484.4964435,8,6.604910850524902
1570874811.9000874,9,6.0595011711120605
1570875139.2893627,10,5.68019962310791
1570875467.379538,11,5.393637180328369
1570875795.161135,12,5.306849002838135
1570876122.1403556,13,5.068634033203125
1570876448.8900568,14,5.001965522766113
1570876776.3584914,15,4.852085113525391
1570877104.0783923,16,4.787675380706787
1570877431.9270322,17,4.714401721954346
1570877759.4302673,18,4.658675670623779
1570878086.081201,19,4.57396125793457
1570878413.629559,20,4.4736175537109375
1570878742.0196059,21,4.417672634124756
1570879070.0371852,22,4.365305423736572
1570879397.858402,23,4.283961296081543
1570879725.217138,24,4.2455244064331055
1570880052.384633,25,4.184014320373535
1570880380.4917488,26,4.139142990112305
1570880708.4599187,27,4.1002655029296875
1570881036.2659276,28,4.063608646392822
1570881364.2195914,29,4.008243083953857
1570881691.4379034,30,3.9948339462280273
1570882019.3431995,31,3.94541072845459
1570882347.0542614,32,3.9278204441070557
1570882674.8382106,33,3.884587287902832
1570883002.8020134,34,3.8714773654937744
1570883330.517931,35,3.814061164855957
1570883657.786242,36,3.8087003231048584
1570883985.87838,37,3.772063732147217
1570884313.997818,38,3.7540910243988037
1570884642.0973127,39,3.736158609390259
1570884970.054206,40,3.7135534286499023
1570885297.6726737,41,3.677781105041504
1570885625.2333093,42,3.6603469848632812
1570885953.3289902,43,3.6481685638427734
1570886281.1421397,44,3.6205050945281982
1570886608.8961682,45,3.609602212905884
1570886936.2645593,46,3.5707077980041504
1570887262.8323753,47,3.5736491680145264
1570887590.7338197,48,3.5427005290985107
1570887918.7669353,49,3.533607244491577
1570888246.3292818,50,3.5136475563049316
1570888574.251972,51,3.469637870788574
1570888900.9573307,52,3.4551265239715576
1570889228.2428665,53,3.463712453842163
1570889555.965126,54,3.4327633380889893
1570889883.3480737,55,3.4313971996307373
1570890210.9427242,56,3.4096391201019287
1570890538.3171122,57,3.3947091102600098
1570890864.5113068,58,3.368575096130371
1570891192.3218179,59,3.356769323348999
1570891520.1491108,60,3.339672565460205
1570891848.1649249,61,3.3286941051483154
1570892175.6309886,62,3.3097925186157227
1570892502.3015676,63,3.3034088611602783
1570892829.37382,64,3.283998489379883
1570893156.7352738,65,3.2597432136535645
1570893484.165189,66,3.265714645385742
1570893811.8651867,67,3.232045888900757
1570894139.1689348,68,3.223353147506714
1570894465.5068827,69,3.2074992656707764
1570894793.2918034,70,3.1883325576782227
1570895121.349167,71,3.183659315109253
1570895449.0229158,72,3.1709413528442383
1570895776.505838,73,3.1718742847442627
1570896103.2804222,74,3.147721290588379
1570896429.9893699,75,3.130957841873169
1570896757.6146982,76,3.137148380279541
1570897085.2581398,77,3.110042095184326
1570897412.7227027,78,3.1049296855926514
1570897739.7367504,79,3.094771385192871
1570898066.3859403,80,3.079223155975342
1570898394.2137258,81,3.0677318572998047
1570898721.5473278,82,3.0639779567718506
1570899048.9465842,83,3.0497825145721436
1570899376.3879714,84,3.0487616062164307
1570899703.1094854,85,3.0281014442443848
1570900030.160542,86,3.0306174755096436
1570900357.588061,87,3.014496088027954
1570900685.3026278,88,3.0058748722076416
1570901012.8275769,89,2.995147943496704
1570901340.136164,90,2.986528158187866
1570901667.0221293,91,2.9830751419067383
